Package	Version
missForest	1.6.1
doParallel	1.0.17
caret	7.0.1
Boruta	9.0.0
readr	2.1.5
tidymodels	1.4.1
workflowsets	1.1.1
baguette	1.1.0
discrim	1.1.0
naivebayes	1.0.0
kknn	1.4.1
ranger	0.18.0
bonsai	0.4.0
dplyr	1.1.4
ggplot2	4.0.2
purrr	1.0.4
tibble	3.2.1
xgboost	3.2.0.1
kernlab	0.9.33
